published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-02-02,1121.0,1121.0,1105.0,1105.0,-2.64,60.0,66780.0,-1
2026-02-03,1113.0,1113.0,1113.0,1113.0,0.72,50.0,55650.0,1
2026-02-04,1110.0,1120.0,1110.0,1120.0,0.63,75.0,83750.0,1
2026-02-08,1142.4,1143.0,1142.4,1143.0,2.05,782.0,893522.4,1
2026-02-11,1126.0,1126.0,1126.0,1126.0,-1.49,25.0,28150.0,-1
2026-02-26,1128.0,1128.0,1128.0,1128.0,0.18,50.0,56400.0,1
2026-03-01,1131.0,1135.0,1131.0,1135.0,0.62,40.0,45300.0,1
2026-03-10,1136.8,1136.8,1136.8,1136.8,0.16,25.0,28420.0,1
2026-03-15,1135.0,1135.0,1135.0,1135.0,-0.16,25.0,28375.0,-1
2026-03-16,1130.7,1130.7,1130.7,1130.7,-0.38,25.0,28267.5,-1
2026-03-22,1151.0,1151.0,1151.0,1151.0,1.8,75.0,86325.0,1
2026-03-24,1140.0,1140.0,1140.0,1140.0,-0.96,25.0,28500.0,-1
2026-03-25,1162.8,1162.8,1162.8,1162.8,2.0,10.0,11628.0,1
2026-03-30,1153.7,1153.7,1153.7,1153.7,-0.78,25.0,28842.5,-1
2026-03-31,1155.0,1155.0,1155.0,1155.0,0.11,25.0,28875.0,1
2026-04-01,1145.0,1145.0,1145.0,1145.0,-0.87,25.0,28625.0,-1
2026-04-08,1140.0,1140.0,1140.0,1140.0,-0.44,25.0,28500.0,-1
2026-04-10,1140.0,1140.0,1140.0,1140.0,0.0,25.0,28500.0,0
2026-04-16,1143.0,1143.0,1143.0,1143.0,0.26,25.0,28575.0,1
2026-04-20,1140.0,1140.0,1140.0,1140.0,-0.26,25.0,28500.0,-1
2026-04-24,1140.0,1140.0,1140.0,1140.0,0.0,25.0,28500.0,0
2026-04-28,1140.0,1140.0,1140.0,1140.0,0.0,55.0,62700.0,0
2026-05-04,1133.0,1133.0,1133.0,1133.0,-0.61,25.0,28325.0,-1
2026-05-05,1132.0,1132.1,1132.0,1132.1,-0.08,50.0,56602.5,-1
2026-05-12,1130.0,1130.0,1130.0,1130.0,-0.19,25.0,28250.0,-1
2026-05-13,1115.1,1115.1,1115.1,1115.1,-1.32,25.0,27877.5,-1
2026-06-03,1135.0,1135.0,1135.0,1135.0,1.78,25.0,28375.0,1
2026-06-04,1165.1,1165.1,1165.1,1165.1,2.65,416.0,484681.6,1
2026-06-15,1135.0,1135.0,1135.0,1135.0,-2.58,30.0,34050.0,-1
2026-06-16,1125.0,1125.0,1125.0,1125.0,-0.88,25.0,28125.0,-1
2026-06-17,1120.0,1120.0,1108.8,1108.8,-1.44,50.0,55722.0,-1
2026-06-18,1119.0,1119.0,1118.0,1118.0,0.83,75.0,83875.0,1
2026-06-19,1109.7,1109.7,1109.7,1109.7,-0.74,25.0,27742.5,-1
2026-06-25,1110.0,1110.0,1110.0,1110.0,0.03,25.0,27750.0,1
2026-06-30,1122.0,1122.0,1122.0,1122.0,1.08,100.0,112200.0,1
2026-07-02,1118.0,1118.0,1118.0,1118.0,-0.36,50.0,55900.0,-1
2026-07-09,1132.0,1132.0,1130.0,1131.0,1.16,20050.0,22656625.0,1
2026-07-10,1130.0,1130.0,1130.0,1130.0,-0.09,10000.0,11300000.0,-1
2026-07-13,1135.0,1135.0,1110.0,1110.0,-1.77,59400.0,66150894.1,-1
2026-07-14,1143.3,1208.0,1143.3,1195.0,7.66,8769.0,10482121.4,1
2026-07-20,1162.0,1162.0,1150.0,1150.0,-3.77,55.0,63610.0,-1
2026-07-21,1140.0,1140.0,1105.8,1105.8,-3.84,49010.0,55871058.0,-1
2026-07-22,1111.2,1111.2,1111.2,1111.2,0.49,25.0,27780.0,1
2026-07-24,1121.0,1121.0,1121.0,1121.0,0.88,25.0,28025.0,1
2026-07-29,1113.0,1113.0,1112.0,1112.0,-0.8,229.0,254673.0,-1
2026-07-30,1111.0,1111.0,1111.0,1111.0,-0.09,25.0,27775.0,-1
2026-08-03,1111.0,1111.0,1111.0,1111.0,0.0,50.0,55550.0,0
2026-08-06,1108.0,1111.0,1108.0,1111.0,0.0,105.0,116530.0,0
2026-08-10,1140.0,1140.0,1140.0,1140.0,2.61,50.0,57000.0,1
2026-08-13,1106.1,1106.1,1106.1,1106.1,-2.97,25.0,27652.5,0
