published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-02-09,1205.0,1205.0,1205.0,1205.0,0.0,25.0,30125.0,0
2026-02-11,1188.1,1188.1,1188.1,1188.1,-1.4,30.0,35643.0,-1
2026-02-12,1188.1,1213.0,1188.1,1213.0,2.1,38.0,46161.8,1
2026-02-17,1213.0,1240.0,1213.0,1240.0,2.23,506.0,627437.2,1
2026-02-23,1216.0,1216.0,1216.0,1216.0,-1.94,50.0,60800.0,-1
2026-02-26,1240.0,1240.0,1240.0,1240.0,1.97,175.0,217000.0,1
2026-03-12,1216.0,1216.0,1216.0,1216.0,-1.94,25.0,30400.0,-1
2026-03-17,1216.0,1216.0,1216.0,1265.1,4.04,2.0,2505.4,1
2026-03-22,1248.0,1248.0,1248.0,1248.0,-1.35,181.0,225888.0,-1
2026-04-01,1272.0,1297.4,1272.0,1290.0,3.37,300.0,387580.0,1
2026-04-06,1265.0,1265.0,1265.0,1265.0,-1.94,25.0,31625.0,-1
2026-04-07,1265.0,1265.0,1265.0,1241.0,-1.9,1.0,1241.0,-1
2026-04-09,1217.0,1217.0,1217.0,1217.0,-1.93,25.0,30425.0,-1
2026-04-15,1240.0,1240.0,1232.0,1232.0,1.23,50.0,61800.0,1
2026-04-20,1202.0,1202.0,1202.0,1202.0,-2.44,25.0,30050.0,-1
2026-04-22,1238.0,1241.0,1238.0,1241.0,3.24,50.0,61975.0,1
2026-04-23,1241.0,1241.0,1241.0,1241.0,0.0,25.0,31025.0,0
2026-04-24,1241.0,1220.0,1220.0,1278.0,2.98,30.0,36890.0,1
2026-04-27,1278.0,1241.0,1241.0,1241.0,-2.9,25.0,31025.0,-1
2026-04-28,1241.0,1210.0,1210.0,1210.0,-2.5,25.0,30250.0,-1
2026-04-29,1210.0,1210.0,1197.3,1197.3,-1.05,27.0,32283.5,-1
2026-05-04,1233.0,1233.0,1233.0,1233.0,2.98,50.0,61650.0,1
2026-05-05,1200.0,1245.0,1199.8,1225.1,-0.64,137.0,169173.2,-1
2026-05-07,1201.2,1201.2,1201.0,1201.0,-1.97,25.0,30028.0,-1
2026-05-13,1237.0,1237.0,1237.0,1237.0,3.0,10.0,12370.0,1
2026-05-20,1237.0,1274.0,1237.0,1274.0,2.99,75.0,94400.0,1
2026-05-22,1265.0,1275.0,1265.0,1275.0,0.08,65.0,82475.0,1
2026-05-27,1253.0,1253.0,1253.0,1253.0,-1.73,25.0,31325.0,-1
2026-06-01,1250.0,1250.0,1250.0,1250.0,-0.24,100.0,125000.0,-1
2026-06-02,1227.0,1227.0,1227.0,1227.0,-1.84,25.0,30675.0,-1
2026-06-04,1262.9,1262.9,1262.9,1262.9,2.93,1100.0,1389190.0,1
2026-06-05,1262.9,1262.9,1262.4,1262.4,-0.04,25.0,31523.3,-1
2026-06-08,1227.0,1260.0,1227.0,1260.0,-0.19,130.0,162810.0,-1
2026-06-23,1260.0,1260.0,1260.0,1235.0,-1.98,2.0,2470.0,-1
2026-06-30,1265.0,1271.0,1265.0,1271.0,2.91,245.0,311050.0,1
2026-07-01,1297.0,1297.0,1297.0,1297.0,2.05,25.0,32425.0,1
2026-07-06,1289.0,1290.0,1258.1,1258.1,-3.0,10430.0,13125821.0,-1
2026-07-07,1295.0,1295.0,1265.0,1265.0,0.55,60.0,76200.0,1
2026-07-09,1228.0,1228.0,1228.0,1228.0,-2.92,25.0,30700.0,-1
2026-07-10,1211.0,1230.0,1200.0,1230.0,0.16,10010.0,12018300.0,1
2026-07-13,1230.0,1230.0,1220.0,1220.0,-0.81,75.0,91750.0,-1
2026-07-14,1256.0,1313.0,1256.0,1313.0,7.62,4726.0,6133912.0,1
2026-07-16,1290.0,1326.0,1255.0,1326.0,0.99,151035.0,189588760.0,1
2026-07-27,1326.0,1326.0,1215.4,1215.4,-8.34,5001.0,6078318.9,-1
2026-07-30,1190.0,1190.0,1190.0,1190.0,-2.09,10.0,11900.0,-1
2026-08-05,1177.0,1177.0,1177.0,1177.0,-1.09,25.0,29425.0,-1
2026-08-06,1177.0,1177.0,1177.0,1177.0,0.0,25.0,29425.0,0
2026-08-10,1165.0,1165.0,1165.0,1165.0,-1.02,25.0,29125.0,-1
2026-08-11,1182.0,1182.0,1182.0,1182.0,1.46,25.0,29550.0,1
2026-08-13,1205.0,1205.0,1205.0,1175.0,-0.59,25.0,29885.0,-1
